element_type,osmid,amenity,building,name,tourism,geometry
way,37010144,,school,Instituto Médio Politécnico Alda Lara,,"POLYGON ((13.233067 -8.8233698, 13.2331557 -8.823369700000001, 13.2331559 -8.82358, 13.2334727 -8.8235797, 13.2334726 -8.823439, 13.2335042 -8.823439, 13.2335613 -8.823438899999999, 13.233595 -8.823438899999999, 13.2335951 -8.8235717, 13.2339292 -8.8235715, 13.2339291 -8.823369, 13.2340096 -8.823369, 13.2340099 -8.8237015, 13.2339243 -8.8237016, 13.2339243 -8.823663399999999, 13.2336056 -8.823663700000001, 13.2336056 -8.8237294, 13.233475 -8.823729500000001, 13.2334749 -8.8236644, 13.2331552 -8.8236647, 13.2331553 -8.823701, 13.2330673 -8.823701099999999, 13.233067 -8.8233698))"
way,37010160,,yes,,,"POLYGON ((13.2453364 -8.812227399999999, 13.2453646 -8.8121835, 13.2454076 -8.812116400000001, 13.2455961 -8.8122346, 13.245563 -8.8122861, 13.2455249 -8.812345499999999, 13.2453364 -8.812227399999999))"
way,37010162,,yes,,,"POLYGON ((13.249289 -8.812285899999999, 13.2494268 -8.8123442, 13.2492024 -8.8128622, 13.2490645 -8.812803799999999, 13.249289 -8.812285899999999))"
way,37010163,,yes,,,"POLYGON ((13.2489526 -8.812872199999999, 13.2488975 -8.8129963, 13.2494007 -8.8132144, 13.2494558 -8.8130902, 13.2489526 -8.812872199999999))"
way,37010164,,yes,,,"POLYGON ((13.248763 -8.8147032, 13.2486911 -8.814837499999999, 13.2490869 -8.8150444, 13.2491588 -8.814910100000001, 13.248763 -8.8147032))"
way,37010177,,yes,Ministério das Relações Exteriores (MIREX),,"POLYGON ((13.233625 -8.8127932, 13.2336673 -8.812492199999999, 13.2337569 -8.812504499999999, 13.2337487 -8.8125625, 13.2338156 -8.812571699999999, 13.2338204 -8.812537900000001, 13.2340034 -8.8125629, 13.2339984 -8.8125985, 13.2340728 -8.8126087, 13.2340804 -8.812554799999999, 13.2341834 -8.8125689, 13.2341727 -8.812645, 13.2341609 -8.8126433, 13.2341301 -8.8128624, 13.233625 -8.8127932))"
way,37013308,,yes,,,"POLYGON ((13.2459271 -8.810869800000001, 13.2459228 -8.8109784, 13.2468065 -8.8110125, 13.2468108 -8.8109039, 13.2459271 -8.810869800000001))"
way,37013309,,yes,,,"POLYGON ((13.2461973 -8.8111254, 13.2461942 -8.8112336, 13.2468523 -8.811252, 13.2468554 -8.811143899999999, 13.2461973 -8.8111254))"
way,37013310,,yes,Ministério do Comércio (MINCO),,"POLYGON ((13.2434211 -8.8037221, 13.2430899 -8.8035534, 13.2434069 -8.802945899999999, 13.2437403 -8.8031158, 13.2436667 -8.8032568, 13.2434047 -8.803123299999999, 13.2432326 -8.8034531, 13.2434924 -8.803585399999999, 13.2434211 -8.8037221))"
way,37013311,,yes,,,"POLYGON ((13.2471144 -8.8029086, 13.2471878 -8.803260699999999, 13.2474535 -8.803206599999999, 13.2474435 -8.803158399999999, 13.248508 -8.802941799999999, 13.2484447 -8.802638, 13.2471144 -8.8029086))"
