element_type,osmid,amenity,building,name,tourism,geometry
way,97808597,,tank,,,"POLYGON ((29.6695098 31.0456022, 29.6694291 31.0456402, 29.6693685 31.0456995, 29.6693352 31.0457729, 29.6693332 31.0458518, 29.6693628 31.0459264, 29.6694111 31.0459805, 29.6694874 31.0460245, 29.6695767 31.0460436, 29.6696682 31.0460353, 29.6697509 31.0460007, 29.6698148 31.045944, 29.6698521 31.0458721, 29.6698586 31.0457935, 29.6698333 31.0457177, 29.6697792 31.0456539, 29.669703 31.0456098, 29.6696137 31.0455907, 29.6695098 31.0456022))"
way,97808599,,tank,,,"POLYGON ((29.6709451 31.0466102, 29.6708601 31.046645, 29.6707941 31.0467027, 29.6707551 31.0467762, 29.6707478 31.0468568, 29.6707731 31.0469346, 29.6708511 31.0470176, 29.6709343 31.0470555, 29.6710277 31.0470666, 29.6711199 31.0470498, 29.6711998 31.0470069, 29.6712577 31.0469432, 29.6712784 31.0468998, 29.6712889 31.0468196, 29.6712667 31.0467411, 29.6712145 31.0466738, 29.6711386 31.0466259, 29.6710482 31.0466031, 29.6709451 31.0466102))"
way,97808600,,tank,,,"POLYGON ((29.6717345 31.0395702, 29.6716006 31.0396433, 29.6715041 31.0397512, 29.6714564 31.0398809, 29.6714634 31.0400168, 29.6715242 31.0401424, 29.6716528 31.0402558, 29.6717975 31.0403115, 29.6719558 31.0403214, 29.6721085 31.0402843, 29.6722372 31.0402047, 29.6723451 31.0400503, 29.6723661 31.0399155, 29.672332 31.0397827, 29.672247 31.0396679, 29.6721213 31.0395849, 29.67197 31.0395438, 29.6718114 31.0395495, 29.6717345 31.0395702))"
way,97808602,,tank,,,"POLYGON ((29.6701627 31.0472349, 29.6700829 31.047271, 29.6700222 31.0473283, 29.6699881 31.0473999, 29.6699847 31.0474772, 29.6700122 31.0475508, 29.6700676 31.0476119, 29.6701175 31.0476424, 29.6702031 31.0476671, 29.6702933 31.0476653, 29.6703774 31.0476372, 29.6704452 31.0475861, 29.6704975 31.0474887, 29.6704988 31.0474114, 29.6704691 31.0473384, 29.6704121 31.0472784, 29.6703345 31.0472388, 29.6702459 31.0472243, 29.6701627 31.0472349))"
way,97808603,,tank,,,"POLYGON ((29.6746981 31.0419611, 29.6746093 31.0420757, 29.6745716 31.0422094, 29.6745896 31.0423461, 29.6746611 31.0424693, 29.6747774 31.0425642, 29.674943 31.0426227, 29.6751035 31.0426256, 29.6752556 31.0425814, 29.6753808 31.0424952, 29.675464 31.0423776, 29.6754924 31.0421887, 29.6754466 31.0420569, 29.6753509 31.0419464, 29.6752169 31.0418706, 29.6750607 31.0418387, 29.6749012 31.0418545, 29.6746981 31.0419611))"
way,97808604,,tank,,,"POLYGON ((29.6641413 31.0449146, 29.6641054 31.0449764, 29.6640964 31.045045, 29.6641152 31.0451121, 29.6641597 31.0451696, 29.6642245 31.0452106, 29.6643018 31.0452302, 29.6643569 31.0452299, 29.6644339 31.0452095, 29.664498 31.0451678, 29.6645417 31.0451098, 29.6645597 31.0450388, 29.6645482 31.0449705, 29.66451 31.0449097, 29.66445 31.0448638, 29.6643751 31.0448382, 29.6642946 31.0448361, 29.6642181 31.0448577, 29.6641413 31.0449146))"
way,97808605,,tank,,,"POLYGON ((29.6731212 31.0408777, 29.6730426 31.0409946, 29.6730154 31.0411274, 29.6730428 31.0412602, 29.6731217 31.041377, 29.6732423 31.0414636, 29.673405 31.0415116, 29.6735624 31.0415071, 29.6737084 31.0414567, 29.6738255 31.0413666, 29.6738996 31.0412475, 29.6739211 31.0411045, 29.6738848 31.0409732, 29.6737983 31.0408606, 29.673672 31.04078, 29.6735212 31.0407413, 29.6733641 31.0407492, 29.6732195 31.0408026, 29.6731212 31.0408777))"
way,97808607,,tank,,,"POLYGON ((29.6751456 31.0447072, 29.6750655 31.0448258, 29.6750376 31.0449606, 29.6750651 31.0450955, 29.6751449 31.0452142, 29.6752673 31.0453024, 29.6754863 31.0453553, 29.6756444 31.045335, 29.6757848 31.0452695, 29.6758906 31.0451668, 29.6759491 31.0450393, 29.6759579 31.0449462, 29.6759242 31.0448123, 29.6758391 31.0446963, 29.6757129 31.0446123, 29.6755607 31.0445703, 29.6754009 31.0445755, 29.6752529 31.0446272, 29.6751456 31.0447072))"
way,97808608,,tank,,,"POLYGON ((29.6635798 31.0454484, 29.6635204 31.0454971, 29.6634841 31.0455602, 29.6634751 31.0456301, 29.6634945 31.0456985, 29.6635401 31.045757, 29.6635871 31.0457896, 29.6636635 31.0458155, 29.6637456 31.0458175, 29.6638236 31.0457953, 29.6638879 31.0457516, 29.6639402 31.0456674, 29.6639465 31.0455972, 29.6639244 31.0455294, 29.6638766 31.0454722, 29.6638088 31.0454325, 29.6637292 31.045415, 29.6636475 31.0454218, 29.6635798 31.0454484))"
way,97808609,,tank,,,"POLYGON ((29.6703498 31.0461124, 29.6702591 31.0461043, 29.6701707 31.0461233, 29.6700951 31.046167, 29.6700416 31.0462303, 29.6700166 31.0463054, 29.6700159 31.0463454, 29.6700384 31.0464211, 29.6700897 31.0464856, 29.6701637 31.0465313, 29.6702514 31.0465524, 29.6703424 31.0465466, 29.6704315 31.0465109, 29.670495 31.0464549, 29.6705322 31.0463836, 29.6705388 31.0463057, 29.6705139 31.0462305, 29.6704604 31.0461672, 29.6703498 31.0461124))"
way,267020875,,transportation,,,"POLYGON ((29.6953462 30.9329695, 29.6957539 30.9324104, 29.6959604 30.9321781, 29.6962367 30.9318939, 29.6965103 30.9316328, 29.696572 30.9315799, 29.6966363 30.9315362, 29.6966913 30.9315166, 29.6966873 30.9315672, 29.6966484 30.9316397, 29.69658 30.9317375, 29.6965331 30.9317984, 29.6964701 30.9319072, 29.6965156 30.9319365, 29.6966806 30.9320435, 29.6967047 30.9320222, 29.6967953 30.932082, 29.6967879 30.9320935, 29.6969435 30.9321861, 29.6967235 30.9324335, 29.6967966 30.9324864, 29.6971312 30.9321746, 29.6971983 30.9322298, 29.6968308 30.9325991, 29.6964888 30.9330155, 29.6963185 30.933264, 29.6962354 30.933218, 29.6963976 30.9329833, 29.6964432 30.9329155, 29.6963587 30.9328614, 29.6961629 30.9330961, 29.6960033 30.9329971, 29.6959457 30.9330627, 29.6958578 30.9330069, 29.6959021 30.9329459, 29.6957335 30.9328376, 29.6956828 30.932805, 29.6955246 30.932958, 29.6954267 30.9330466, 29.6953408 30.9331064, 29.6952791 30.9331271, 29.6952939 30.9330558, 29.6953207 30.9330052, 29.6953462 30.9329695))"
way,288076090,,commercial,كارفور مول العروبة برج العرب,,"POLYGON ((29.6375259 31.0053913, 29.6386898 31.0059599, 29.637895 31.0071402, 29.6366725 31.0064704, 29.6375259 31.0053913))"
way,322583916,,yes,,,"POLYGON ((29.6913754 30.9376313, 29.6918623 30.937941, 29.691818 30.9379921, 29.6916632 30.9378937, 29.6911731 30.9384606, 29.6913317 30.9385614, 29.6912955 30.9386034, 29.6908049 30.9382914, 29.6913754 30.9376313))"
way,322583921,,hangar,,,"POLYGON ((29.6929117 30.9143056, 29.6931712 30.9144728, 29.692926 30.914753, 29.6928004 30.9146721, 29.6926665 30.9145858, 29.6929117 30.9143056))"
way,322589801,,roof,,,"POLYGON ((29.694934 30.9370424, 29.6948525 30.9371373, 29.6949596 30.937205, 29.6951682 30.9373368, 29.6952844 30.9374102, 29.6953659 30.9373154, 29.6952523 30.9372436, 29.6950424 30.9371109, 29.694934 30.9370424))"
way,325360020,,roof,,,"POLYGON ((29.7285395 30.9985096, 29.7286021 30.9985554, 29.7289433 30.9988056, 29.728925 30.9988388, 29.7288686 30.9989465, 29.728817 30.9990522, 29.7287703 30.999158, 29.7287321 30.9992596, 29.7286998 30.9993706, 29.7286834 30.9994744, 29.7286706 30.9995854, 29.7286687 30.9996914, 29.7286765 30.9997984, 29.7286892 30.9999003, 29.7287068 30.9999924, 29.7282729 31.0001339, 29.7281932 31.0001591, 29.7281575 31.0000655, 29.7281267 30.999949, 29.7281091 30.9998568, 29.7280965 30.999755, 29.7280887 30.9996479, 29.7280906 30.999542, 29.7281034 30.9994309, 29.7281198 30.9993271, 29.728152 30.9992161, 29.7281902 30.9991145, 29.728237 30.9990088, 29.7282885 30.9989031, 29.728345 30.9987953, 29.7284014 30.9986928, 29.7284638 30.9986016, 29.7285395 30.9985096))"
way,537937185,,house,فوزى عرفة مصطفى,,"POLYGON ((29.7348091 31.0076261, 29.7351002 31.0072169, 29.7353252 31.0073106, 29.7349446 31.0077002, 29.7348091 31.0076261))"
