UNIFORM_ID,ADM2_NAME,ADM2_ID,ADM3_NAME,ADM3_ID,ROAD_ID,ROAD_NAME,START_NODE,END_NODE,LINK_NAME,RD_TYPE,LOCAL_CLS,LENGTH,ROAD_WIDTH,AADT_CODE,AADT_VALUE,AADT_SOURC,SURF_TYPE_,SURF_TYPE1,SURF_TYP_1,ROAD_COND_,ROAD_COND1,ROAD_CON_1,LANE_NB,Shape_Leng,AICD_REG,TAH,geometry,country
314.0,OUEST,8.0,NOUN,50.0,8.0,N6,Manki,Foumban,N6.Manki-Foumban,1.0,1.0,34.6077021687,-99.0,5.0,431.588078,CDP,5.0,Earth Road,CDP,3.0,Fair,CDP,2.0,0.312607298356,1.0,1.0,"MULTILINESTRING ((11.009389316591978 5.821924239178259, 11.015712844582367 5.826955335292553, 11.0281004920231 5.830466744451201, 11.034734898551847 5.83579061844938, 11.046898436741515 5.838150462836666, 11.059260341988477 5.846721105197901, 11.071414341069385 5.851150901113556, 11.086567488286505 5.852835536319844, 11.090920802259518 5.855156294373103, 11.094366259637127 5.855172978595363), (10.887091789066119 5.737521520443352, 10.887056440314439 5.737540995261895, 10.883610972144936 5.7409551526356495, 10.884894596960407 5.759132173049466, 10.882793760015545 5.76556232555896, 10.885483979343462 5.778456944210006, 10.888906575055785 5.782843840666203, 10.884514152265695 5.788341300003879, 10.885397232539162 5.795246377282467, 10.897747741577348 5.805659520040422, 10.903481933949422 5.807299355519831, 10.907088594800825 5.820657455966455, 10.908922428431083 5.82135697651978, 10.91606416859696 5.817483617224013, 10.9229141201331 5.825338062004221, 10.930112130878342 5.826884431844405, 10.932782298022971 5.827458539242855, 10.941523280070498 5.82497277718096, 10.944523396776503 5.8224584067860405, 10.952330772840298 5.822957169884148, 10.95781797541025 5.828045486261885, 10.968855289025328 5.826030828649152, 10.97205281860795 5.829497431785626, 10.981720713884613 5.8256355100674, 10.988149131601915 5.826358386913228, 11.000065700673872 5.832167669077421, 11.004202546035799 5.831728493258311, 11.00676779287653 5.824151553176023, 11.009389316591978 5.821924239178259))",Cameroon
315.0,OUEST,8.0,NOUN,50.0,51.0,P25,Manki,Mantoum,P25.Manki-Mantoum,3.0,2.0,16.3911430855,-99.0,-99.0,-99.0,Not applicable,5.0,Earth Road,CDP,3.0,Fair,CDP,2.0,0.148073738099,,,"LINESTRING (11.094366259637127 5.855172978595363, 11.102637066235161 5.855213493952135, 11.110239375292565 5.85088046148951, 11.119430430244222 5.850465120402134, 11.125412523431635 5.848424249350899, 11.131386040684106 5.848452845992767, 11.14193029829869 5.853104376049998, 11.145376700863778 5.852890743900616, 11.146083330557758 5.849444166867045, 11.13929442140369 5.828481470387089, 11.132882230153768 5.824310592880977, 11.12949873336595 5.811414064969313, 11.132338593584336 5.794407194715916, 11.140763875828043 5.790964895757213, 11.14568839598661 5.788952154599713, 11.148692312328194 5.785286704167959, 11.148577852016217 5.7736452098258155)",Cameroon
316.0,CENTRE,2.0,MBAM-ET-KIM,33.0,134.0,D94,Nganbe,Nditam,D94.Nganbe-Nditam,3.0,3.0,31.5190406802,-99.0,-99.0,-99.0,Not applicable,5.0,Earth Road,CDP,4.0,Poor,CDP,2.0,0.28467839181,,,"LINESTRING (11.498164613510085 5.661078117329851, 11.494053560704003 5.65576950482648, 11.471808529036366 5.648540223754935, 11.468872340636835 5.64836809441789, 11.463313705817427 5.648042901370729, 11.457353592959805 5.6454861126536, 11.451410633770536 5.639249100341772, 11.441829599512062 5.624715130046582, 11.42808699303248 5.6166022542894325, 11.42420670535978 5.611294592369461, 11.419919198376988 5.594713071758292, 11.416282076589141 5.586416118271586, 11.416420279901956 5.555822263819891, 11.419442274415019 5.547324549280631, 11.424096852274602 5.53423345844385, 11.423232849319334 5.522037401668911, 11.399314085825722 5.4798326199314715, 11.386067327741557 5.464130405139201, 11.366622990817916 5.448398638625065, 11.362040838958649 5.446307716705576)",Cameroon
317.0,EST,3.0,LOM-ET-DJÉREM,23.0,1.0,N1,Garoua Boulai,Badzéré,N1.Garoua Boulai-Badzéré,1.0,1.0,27.370290893,-99.0,4.0,200.0,Tecsult Estimate,2.0,Asphalt,CDP,2.0,Good,CDP,2.0,0.246267779651,1.0,1.0,"LINESTRING (14.549887609261305 5.896033687587135, 14.553474183755156 5.892353150128997, 14.559916364696846 5.877868258534932, 14.565225644497104 5.839462880346218, 14.571890975113206 5.831647498517725, 14.571664978185197 5.8275071296121155, 14.567075136223252 5.822444105767147, 14.567773863574587 5.8077251224474935, 14.558822082242102 5.801509132687386, 14.555844425204441 5.790237215632487, 14.548236998105324 5.787668062136788, 14.531276391675135 5.781939918604735, 14.525306017553135 5.782396759806488, 14.514048889848993 5.786988276306033, 14.507847758687433 5.78606468067585, 14.497520113575547 5.779386644438148, 14.471588369704705 5.755446738782894, 14.46585055486355 5.7517622577976795, 14.45505951878755 5.748304296246545, 14.44518286838479 5.750366663792249, 14.443965315859543 5.74906395446402)",Cameroon
318.0,OUEST,8.0,NOUN,50.0,46.0,P20,Bangouren,jct_N6,P20.Bangouren-jct_N6,3.0,2.0,17.8220719081,-99.0,4.0,238.594316,CDP,5.0,Earth Road,CDP,2.0,Good,CDP,2.0,0.161052170658,,,"MULTILINESTRING ((10.67185869535166 5.94683795114463, 10.664994407723043 5.941741530076797, 10.662042132251031 5.93575006055795), (10.662042132251031 5.93575006055795, 10.662040026038824 5.93574578697968, 10.661166480377517 5.927461223452553, 10.658892047301379 5.92330940347955, 10.665360558593363 5.916674684886004, 10.666781464916653 5.908862187183217, 10.677873192910397 5.897193012608341, 10.679491486029974 5.880175176022135, 10.679578263411202 5.879262986493245, 10.675929642891901 5.874413561522772, 10.67640645533794 5.871195865542916, 10.684220550236603 5.870548306917101, 10.686586504617765 5.857911647998321, 10.69075102301781 5.8524132335806485, 10.702710572488172 5.849947489527835, 10.708478153989176 5.845378907538702, 10.71789817363151 5.845198648330438, 10.733278412251536 5.847351067688919))",Cameroon
319.0,OUEST,8.0,NOUN,50.0,8.0,N6,Foumban,Foumbot,N6.Foumban-Foumbot,1.0,1.0,6.21429182006,-99.0,6.0,1261.237192,CDP,2.0,Asphalt,CDP,5.0,Very Poor,CDP,2.0,0.0561071766827,1.0,1.0,"LINESTRING (10.83429288140826 5.730337027407586, 10.840697486876877 5.733373036955072, 10.854722561412643 5.730915874233062, 10.866242432342858 5.724074675798249, 10.877931118608501 5.728965573004075, 10.886501410234189 5.730044164987362, 10.886574861461611 5.730053410917151)",Cameroon
320.0,OUEST,8.0,NOUN,50.0,51.0,P25,Manki,Mantoum,P25.Manki-Mantoum,3.0,2.0,18.0462841917,-99.0,-99.0,-99.0,Not applicable,5.0,Earth Road,CDP,3.0,Fair,CDP,2.0,0.163046443346,,,"MULTILINESTRING ((11.148577852016217 5.7736452098258155, 11.147637556875281 5.765960504884049, 11.127351951857293 5.7336610403383474, 11.126914225745281 5.729288923340391, 11.129008377130162 5.7237790704458575), (11.129008377130162 5.7237790704458575, 11.130405435231864 5.719875676492222, 11.135486341196042 5.714149810942899, 11.143785735442748 5.707979527426289, 11.150321842476444 5.68638929302756, 11.154015224951138 5.682496867205373, 11.165045809838773 5.681399170024918, 11.167817039195825 5.678192436780648, 11.169714727388168 5.66555053031783, 11.167437459648966 5.661629028515165, 11.1633168398551 5.658849078432411, 11.15899784850734 5.649627533766022, 11.150142478992962 5.647949086794597))",Cameroon
321.0,EST,3.0,LOM-ET-DJÉREM,23.0,1.0,N1,Badzéré,Ndokayo,N1.Badzéré-Ndokayo,1.0,1.0,61.5675388983,-99.0,4.0,200.0,Tecsult Estimate,2.0,Asphalt,CDP,2.0,Good,CDP,2.0,0.554059898866,1.0,1.0,"MULTILINESTRING ((14.441914096309688 5.706206394435696, 14.442680792621331 5.72184328607301, 14.437385529654193 5.737939400316861, 14.438299924320688 5.743000533786869, 14.443965315859543 5.74906395446402), (14.1304017202296 5.506002989010199, 14.148913224586465 5.505362185192098, 14.164379496848369 5.506732386840042, 14.168188577102114 5.508003939156595, 14.176378385362284 5.509067406342012, 14.191077572805455 5.516704692731082, 14.198727099866687 5.525023622950243, 14.20532281846107 5.523595237864981, 14.211846564313475 5.518039972805241, 14.215111297533383 5.500897053115295, 14.215239563337832 5.500226303672264, 14.230197510909818 5.501565434643396, 14.23551848279584 5.507605635725042, 14.241116521409936 5.506864156403083, 14.244349451005576 5.504813016892911, 14.246740586403519 5.493751161678972, 14.252669359687104 5.4908394060602745, 14.265582705820066 5.494763282972428, 14.27597781267474 5.495187960821113, 14.276887406760238 5.484793226285774, 14.278768196691658 5.480260380656034, 14.289185014978727 5.486023355829673, 14.30043673595884 5.4891513777119485, 14.311229330559911 5.497597540414517, 14.313980213655327 5.502273661533366, 14.318248280893158 5.509528588571129, 14.326190920386125 5.516645275423912, 14.331294681720351 5.528013256259328, 14.332765123600325 5.551362628399318, 14.335516625429307 5.555114001856396, 14.336369084686964 5.563882263938353, 14.359329687108186 5.582770439434626, 14.366297805062402 5.601249712989272, 14.361038377380169 5.607225617042445, 14.35827439925663 5.6155035093987635, 14.360566532788994 5.620796857709365, 14.36175548687379 5.6211787943792615, 14.366304393495568 5.622641705336548, 14.385576536330973 5.639450088023466, 14.385566148262171 5.651411047630802, 14.392212722618012 5.664528304242026, 14.41538255500734 5.689159636552347, 14.433521792204772 5.6919342518568214, 14.439716343926307 5.697919471986893, 14.441914096309688 5.706206394435696))",Cameroon
322.0,OUEST,8.0,BAMBOUTOS,1.0,122.0,D72,jct_N11,jct_P15,D72.jct_N11-jct_P15,3.0,3.0,0.00119138950143,-99.0,4.0,221.256451,CDP,5.0,Earth Road,CDP,-99.0,Unknown,Not applicable,2.0,1.077477819e-05,,,"LINESTRING (10.354503834138086 5.807564954992699, 10.354503829641487 5.807554180215448)",Cameroon
323.0,NORD-OUEST,7.0,NGO-KETUNJIA,48.0,122.0,D72,jct_N11,jct_P15,D72.jct_N11-jct_P15,3.0,3.0,22.9905441749,-99.0,4.0,221.256451,CDP,5.0,Earth Road,CDP,-99.0,Unknown,Not applicable,2.0,0.207838941318,,,"LINESTRING (10.406660182501241 5.978422583280121, 10.40416496406823 5.97286042491703, 10.40357998386645 5.963001268126391, 10.392954474305213 5.950207363650122, 10.38735948079551 5.947794123816038, 10.374849108273395 5.935915346054401, 10.367115344415652 5.916587240207775, 10.379390346376226 5.909228702278995, 10.381548670683173 5.905031583455354, 10.37891035842415 5.890690649036458, 10.374970223568369 5.887124969390641, 10.373666454838713 5.878664364475583, 10.37711472979231 5.875668791144506, 10.37792838330438 5.874962388978929, 10.380607728929704 5.847079370812708, 10.37880198382436 5.841426611151064, 10.365584543638363 5.830007844701356, 10.361227409345418 5.822213334338471, 10.354507355883129 5.816033213138212, 10.354503834138086 5.807564954992699)",Cameroon
