ET_ID,LINKNO,ROADNO,STARTKM,ENDKM,LENGTHKM,STARTDESC,ENDDESC,CLASS,REGION,WIDTH,LANES,SURFTYPE,CONDITION,AADT,PAVEMTYPE,COMMENT,geometry
,120-21,EN120,0.0,84.73,84.73,QUIBALA,WAKO-KUNGO,Primary,CUANZA SUL,7.0,2,Paved,Good,1029,Paved,,"LINESTRING (15.115114332275843 -11.379648376098052, 15.0936240032652 -11.354092091977128, 15.037493658206214 -11.296207174712974, 15.007674420098603 -11.255863142601424, 14.99714999203653 -11.213765024708394, 14.997150002759057 -11.17692917273399, 15.009428527105364 -11.14009332237118, 15.0392477935644 -11.082208416173202, 15.04626410501868 -11.024323507126562, 15.048018194722138 -10.969946773820567, 15.03223155552302 -10.892766891893645, 14.998904183018025 -10.819095183936666, 14.94628201330401 -10.741915296928429, 14.941795795405676 -10.724867499788568)"
,240-05,EN240,0.0,58.85,58.85,Caringo,Quitubia,Primary,CUANZA SUL,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (15.290851953778484 -10.589978921435433, 15.31728053237422 -10.565104791538916, 15.337490618368694 -10.563550161204088, 15.385683899385889 -10.582205768786434, 15.421440209978396 -10.594642841036507, 15.454087284213118 -10.589978945835886, 15.475852000068619 -10.594642849173988, 15.505389831556146 -10.599306753669836, 15.531818421460079 -10.597752124259685, 15.562910881125779 -10.6024160289778, 15.61110420209205 -10.599306769452006, 15.677953011427162 -10.602416046115392, 15.710600105821191 -10.616407751152012, 15.747911075507945 -10.628844823503243, 15.782112804432431 -10.62729019519522)"
,230-03,EN230,0.0,51.82,51.82,Catete,Maria Teresa,Primary,BENGO,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (14.0499530888748 -9.266727016473391, 13.997331142496341 -9.24216977425915, 13.904365735083195 -9.214104349797827, 13.864022280040858 -9.184284845143486, 13.84297352156187 -9.175514401267614, 13.809646319471431 -9.17551439645426, 13.758778499068754 -9.172006212915957, 13.718435070136229 -9.161481678310958, 13.674583530475829 -9.145694878809946, 13.632486064109195 -9.129908079640904)"
,230-06,EN230,0.0,45.95,45.95,N'Dalatando,Lucala,Primary,CUANZA NORTE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (14.807892329114663 -9.315773905965882, 14.830387013951691 -9.305651209298905, 14.893598225337957 -9.291377591893331, 14.932340584611541 -9.293416688339711, 14.99962996600438 -9.277103981932267, 15.097505453189752 -9.273025819333597, 15.183146533055927 -9.268947654586478, 15.1988690894399 -9.275497650449797)"
,225-02,EN225,0.0,54.5,54.5,Sassa,Ucua,Primary,BENGO,7.9,2,Paved,Good,200,Paved,2 assumptions made: Based on map information road is paved and traffic assumed a maximum of 200 cars/day,"LINESTRING (13.646518115591396 -8.56860266081437, 13.685152779360903 -8.573790655149732, 13.709749578112882 -8.57379065901034, 13.762361101162307 -8.582579729960528, 13.80093476064422 -8.582579736183277, 13.818512632836747 -8.584410793745157, 13.844757368857435 -8.601927888009964, 13.87991311170959 -8.631774085412069, 13.920134721291191 -8.638793135087669, 13.939543634003766 -8.64398112663668, 13.965910459800742 -8.656310232687074, 13.99734314602999 -8.656310237980096, 14.025541021631822 -8.645690125527912, 14.055325787006254 -8.652709173608924, 14.079922637653285 -8.65447919736596, 14.090298480844895 -8.656310253844515)"
,120-13,EN120,0.0,52.46,52.46,QUIBAXE,BULA-ATUMBA,Primary,CUANZA NORTE,8.0,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (14.748837107965258 -8.738954086685407, 14.748837117374018 -8.713805336513868, 14.746902626177034 -8.688656586006198, 14.741099132426806 -8.667376873293025, 14.712081631051527 -8.653835233339537, 14.686933131273182 -8.646097151808746, 14.675326136853862 -8.630620995767107, 14.655981145043995 -8.611275799837111, 14.644374150771947 -8.599668682279129, 14.617291151451056 -8.611275792801532, 14.597946157100512 -8.61127578928545, 14.592142665190002 -8.595799634292085, 14.576666674370033 -8.588061554508695, 14.553452687114053 -8.584192511801637, 14.53410769907664 -8.58225798904175, 14.518631714677898 -8.568716351528707, 14.52443521692636 -8.55324019864712, 14.516697232338116 -8.528091447100284, 14.501221243827588 -8.528091444278411, 14.44812666727776 -8.52123963091247)"
,120-15,EN120,0.0,41.43,41.43,QUILOMBO DOS DEMBOS,CAMBONDO,Primary,CUANZA NORTE,6.0,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (14.553452431169006 -9.234190982427089, 14.601814931821576 -9.187762528211133, 14.615356444376419 -9.147137625922198, 14.621159962601757 -9.09684012602606, 14.636635972198496 -9.065887820516215, 14.64437398253103 -9.036870032949937, 14.644373996599517 -9.00011416701239, 14.65598100694035 -8.971096380188232, 14.66565352000925 -8.936275035286048, 14.665653530343041 -8.909191765718315)"
,225-13,EN225,0.0,12.48,12.48,Quiculungo,Pambos de Sonhe,Primary,CUANZA NORTE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day,"LINESTRING (15.26534936051432 -8.531960621183984, 15.296301435354055 -8.52035351127829, 15.33886053840284 -8.520353518760727, 15.37076865416067 -8.526502061872264)"
,160-13,EN160,0.0,32.84,32.84,MARIMBA,CHIQUITA,Primary,MALANJE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (16.93483042642422 -8.653835589443874, 16.954175563172594 -8.580323861137451, 16.965782643804673 -8.545502516463394, 16.97352069832586 -8.518419248223378, 17.006407423028254 -8.448776560082147, 17.027687067471334 -8.41395521659917, 17.029621584690847 -8.386871947646862)"
,225-24,EN225,0.0,41.65,41.65,Marimba,Caxito Cameia,Primary,MALANJE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (17.029621584690847 -8.386871947646862, 17.050901223946173 -8.38687195025054, 17.081853426534494 -8.394610030921786, 17.101198554432962 -8.396544552482899, 17.12441271003482 -8.390740997579877, 17.155364920051337 -8.375264847431463, 17.19212066838987 -8.37526485175569, 17.232745444077942 -8.38300293339658, 17.27917376123394 -8.398479092563697, 17.37009588824501 -8.4526456412496)"
,160-12,EN160,0.0,46.53,46.53,MANGANDO,MARIMBA,Primary,MALANJE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (17.029621584690847 -8.386871947646862, 17.058639277037745 -8.373330316598874, 17.081853434241793 -8.348181569453532, 17.101198566538795 -8.323032821825125, 17.126347243756623 -8.263062728788736, 17.153430438161653 -8.181812924480868, 17.153430443122677 -8.150860616867481, 17.14375788233193 -8.125711865799774, 17.141823372495555 -8.10636667332094, 17.14182337529215 -8.088956000296903, 17.130216300576777 -8.071545325909097, 17.116674712299613 -8.05993820896422, 17.099264099349714 -8.044462053108031)"
,230-10,EN230,0.0,28.27,28.27,Lombe,Malange,Primary,MALANJE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (16.11908262027452 -9.50548221761874, 16.16190328262738 -9.519755852288156, 16.227153829652092 -9.517716772343752, 16.263857266385365 -9.517716777801647, 16.35561586291269 -9.556459496306807)"
,140-14,EN140,0.0,24.51,24.51,CALANDULA,COTA,Primary,MALANJE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (16.070104030259554 -9.302214413694575, 16.06371104877236 -9.28303535253277, 16.043981769460213 -9.276458887409163, 15.993014464905759 -9.2764588794604, 15.961776444013438 -9.271526528003541, 15.948623596255933 -9.260017717311621, 15.945335393679471 -9.220558944398872, 15.937114870297538 -9.1893207482995)"
,225-15,EN225,0.0,12.96,12.96,Senda,Luinga,Primary,CUANZA NORTE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day,"LINESTRING (15.478102554581698 -8.51837105007388, 15.536329694948158 -8.502929165780786, 15.569105355876646 -8.487487277088709, 15.58448611308425 -8.48358102976692)"
,225-23,EN225,0.0,45.45,45.45,Bange Angola,Marimba,Primary,MALANJE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day,"LINESTRING (16.65239173490657 -8.446841994848919, 16.689147454056826 -8.433300365245337, 16.727837688045067 -8.415889697399049, 16.77039694641772 -8.408151626140103, 16.79554560194964 -8.396544514088136, 16.82069425752492 -8.390740959691927, 16.832301329925443 -8.38687192274667, 16.85744998467611 -8.394610002902507, 16.880664129828315 -8.39461000588304, 16.90000925151291 -8.394610008352341, 16.929026938673744 -8.375264819762116, 16.94450303724714 -8.375264821711276, 16.977389748073715 -8.37526482582529, 17.000603897661634 -8.377199347933765, 17.029621584690847 -8.386871947646862)"
,215-06,EN215,0.0,44.91,44.91,Bembe,Lucunga,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day,"LINESTRING (14.23692434037353 -7.041045240628065, 14.245387552330703 -7.0325819312916975, 14.281093021773014 -7.012497375059288, 14.330188047348779 -6.996876057637426, 14.374819908547835 -6.958938558168561, 14.43507293301994 -6.914306207343136, 14.47077842897348 -6.907611359798524, 14.484167991363964 -6.905379744230087, 14.5064839455885 -6.862979004284984, 14.549863348441868 -6.83906919550675)"
,120-06,EN120,0.0,73.63,73.63,LUCUNGA,SONGO,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,,"LINESTRING (14.549863348441868 -6.83906919550675, 14.546355205786003 -6.849593723039551, 14.544601133125044 -6.858364162872866, 14.544601125021739 -6.879413219275693, 14.563895880624901 -6.8987081913050705, 14.581436569729023 -6.9144949869375685, 14.581436556334785 -6.949576747659933, 14.581436540229795 -6.99167486056, 14.593715015046902 -7.025002535622712, 14.634058609905473 -7.05657612797105, 14.67440221216502 -7.088149720324272, 14.711237679154818 -7.123231488109241, 14.725270234183931 -7.151296899450457, 14.725270225125664 -7.1758541320823275, 14.723516136242164 -7.22496859705204, 14.72351612195028 -7.263558534106006, 14.737548678564371 -7.289869857478382, 14.75684345287626 -7.305656653547908, 14.777892297387748 -7.328459802149452, 14.783154500658839 -7.356525211958336, 14.790612303084755 -7.3714409721896255)"
,215-08,EN215,0.0,46.13,46.13,Chimacongo,Damba,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day,"LINESTRING (14.745446385846838 -6.728735432662313, 14.786554086572059 -6.705612137910424, 14.81224640284989 -6.691481235647511, 14.835369486663389 -6.687627356160554, 14.85463872193972 -6.692765871314073, 14.863631031754924 -6.696619756679692, 14.87519257469106 -6.69790438669536, 14.898315667411579 -6.685058111815071, 14.907307980110213 -6.6850581134462805, 14.92272337707846 -6.676065720878044, 14.936854159964989 -6.66321944434614, 14.957408021938754 -6.660650192232087, 14.976677266097424 -6.667073335238173, 14.99851574695705 -6.667073339151768, 15.013931145468334 -6.6696425977258125, 15.038338860040735 -6.678634997444895, 15.06403119007127 -6.699189048575701, 15.100641790676809 -6.726807662451482)"
,140-04,EN140,0.0,67.01,67.01,31 DE JANEIRO,BUNGO,Primary,UIGE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (15.340949708274588 -7.456508332383364, 15.3304252738745 -7.409147952991902, 15.333933432537092 -7.379328456648295, 15.321654919989216 -7.344246693391346, 15.3076223328541 -7.310919017899542, 15.297097893934847 -7.2828536071983185, 15.29008160821139 -7.2425095807599424, 15.288327545568524 -7.203919643321036, 15.286573482389784 -7.1670837939550776, 15.281311271402268 -7.126739767898903, 15.276049057301663 -7.0969202701559695, 15.269032771113078 -7.060084419932886, 15.2672787086016 -7.0214944826054975, 15.265524647161575 -6.979396369211502, 15.263770583575047 -6.944314608019753, 15.262016516781161 -6.919757375105314, 15.246229851392172 -6.9109869321410695, 15.234749152916086 -6.906203267262808)"
,215-11,EN215,0.0,38.37,38.37,Cuilo Futa,Quinsolo,Primary,UIGE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day,"LINESTRING (15.699917310127791 -6.453825223520739, 15.762863673924436 -6.455109861165342, 15.820671570181545 -6.451255986232591, 15.852787070668146 -6.455109874831526, 15.882333330209718 -6.473094670108977, 15.902887250349753 -6.489794836113979, 15.928579656467113 -6.49236409577096, 15.947848961171607 -6.498787238216467, 15.965833645181004 -6.510348892141293, 15.991526053857331 -6.520625919270243, 16.013364603716415 -6.524479806219648)"
,120-01,EN120,0.0,50.01,50.01,NOQUI,MEPALA,Primary,ZAIRE,5.5,2,Unpaved,Fair,244,Gravel,,"LINESTRING (13.35885451689968 -5.886306834520806, 13.358854501291598 -5.916711026206035, 13.391596898401701 -5.933082519984105, 13.406214038551452 -5.947992270508006, 13.41849243669022 -5.962024976625595, 13.444803302431723 -5.974303597333714, 13.455327649012697 -5.98131995120693, 13.467606052275443 -5.993598569367944, 13.474622278789653 -6.00938536254647, 13.495670977962723 -6.021663982339549, 13.504441262243558 -6.042713039830641, 13.52198184551727 -6.0584998349847305, 13.537768378418336 -6.0602539258964585, 13.548292729122702 -6.07253254378697, 13.553554899138067 -6.090073424686213, 13.571095489990396 -6.102352043895659, 13.600914502475547 -6.1163847533978775, 13.623717278206456 -6.13217154960677, 13.651782243595065 -6.1391879068377815, 13.660552543994147 -6.146204260464629)"
,210-04,EN210,0.0,77.6,77.6,QUIXIMBA,QUIANDE,Primary,ZAIRE,5.5,2,Unpaved,Poor,415,Track,,"LINESTRING (13.500932772969561 -6.769204067853232, 13.50093277861204 -6.7583809470584955, 13.516719318133337 -6.7461023337455135, 13.537768036044378 -6.737331897471503, 13.56057081482498 -6.732069637593736, 13.586881717161354 -6.726807378382964, 13.628979166723312 -6.725053298186858, 13.669322570805742 -6.7145287775758415, 13.702649740048761 -6.702250167660218, 13.739485050654908 -6.66716841413346, 13.78333661293367 -6.642611190126613, 13.816663811401659 -6.616299876145102, 13.832450391126718 -6.582972206784552, 13.841220732181322 -6.525087303896378, 13.851745120053184 -6.502284161705031, 13.867531693595598 -6.48825146059805, 13.90436702546918 -6.481235115563774, 13.941202365859217 -6.472464682524261, 13.964005201728591 -6.461940158798142, 13.983299920559505 -6.432120666270356, 13.999738428284894 -6.423353348879883)"
,120-03,EN120,0.0,67.28,67.28,MEPOSO,M'BANZA-CONGO,Primary,ZAIRE,5.5,2,Unpaved,Poor,244,Track,,"LINESTRING (13.797387013280051 -6.004815764012497, 13.819914245169638 -6.000591850902908, 13.84103352726279 -5.997775909977704, 13.860744862803578 -5.987920106549457, 13.886088008632484 -5.98228822152339, 13.904391391608756 -5.983696197412899, 13.91987886845537 -5.99073606256703, 13.925510679070445 -5.992144036074983, 13.93536634916478 -5.992144037929051, 13.952261786121964 -5.989328096209656, 13.962117455876596 -5.993552015410267, 13.976196985846665 -5.997775935406512, 13.988868564207262 -6.000591882689323, 13.994500366130495 -6.027343360301576, 14.00435602859656 -6.054094838729868, 14.00857988480982 -6.063950646689063, 14.019843511367192 -6.068174566169976, 14.053634400679822 -6.068174572541687, 14.074753707882707 -6.072398493880753, 14.087425292071696 -6.0780303860815295, 14.104320728014793 -6.111821728164495, 14.126847974946683 -6.165324685734972, 14.135295682840678 -6.210379805972435, 14.152191114012645 -6.266698707544064, 14.15669134846669 -6.294645311667784)"
,120-05,EN120,0.0,53.84,53.84,MADIMBA,LUCUNGA,Primary,ZAIRE,5.5,2,Unpaved,Fair,75,Gravel,,"LINESTRING (14.284999171739633 -6.53210374072093, 14.293769497846434 -6.5549068866387055, 14.297277621381035 -6.581218207608163, 14.307802016052545 -6.602267265866767, 14.320080485104295 -6.6075295322716, 14.335867089183457 -6.614545887366513, 14.351653695216779 -6.619808154438909, 14.367440298963965 -6.633840861625951, 14.388489109881746 -6.642611305745855, 14.414800128143895 -6.649627662839234, 14.451635563155214 -6.649627669822481, 14.477946589341173 -6.6566440269008025, 14.497241341196194 -6.668922646726074, 14.520044226155639 -6.698742147483046, 14.55512558930834 -6.753118882980324, 14.58319068331732 -6.798725177061625, 14.590206955752498 -6.8145119706687085, 14.588452882806797 -6.823282410499003)"
,140-02,EN140,0.0,55.12,55.12,QUIBOCOLO,DAMBA,Primary,UIGE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (15.100641790676809 -6.726807662451482, 15.076084779392565 -6.686463633301694, 15.070822566413 -6.667168663996814, 15.04801963151333 -6.625070547168456, 15.037495202951725 -6.598759224828192, 15.014692264338729 -6.577710164412234, 14.984873037351239 -6.558415190778155, 14.967332321003509 -6.535612043276129, 14.965578253874412 -6.519825250711369, 14.96557826135431 -6.497022106355051, 14.970840484047066 -6.479481227022963, 14.97961085100369 -6.4636944363423146, 14.990135289535372 -6.4514158220238, 14.990135298617176 -6.42335041361021, 14.990135305415627 -6.402301357308203, 14.997151600949602 -6.384760478298682, 15.005921969179619 -6.367219599598344, 15.005921974790773 -6.34967871935863, 15.005921982073442 -6.326875575054184, 15.005921987330934 -6.31038725060289)"
,210-09,EN210,0.0,48.56,48.56,LUVACA,MAQUELA DO ZOMBO,Primary,UIGE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (14.686465566393238 -6.009613789756865, 14.718036537647501 -6.0066070060209675, 14.74058723479073 -6.002096825965938, 14.769151453816063 -5.997586646962689, 14.7917021562529 -5.9915730721843365, 14.800722437011455 -5.991573073775747, 14.824776518197528 -5.999090051472288, 14.841313699146422 -6.008110422534804, 14.854844127108144 -5.996083267362074, 14.869877935368141 -5.987062901831388, 14.889421883641816 -5.987062905238252, 14.911972589792605 -6.003600250793723, 14.943543577318913 -6.04118512365296, 14.96759766678848 -6.066742837660707, 14.990148381081676 -6.080273393836346, 15.018712626940507 -6.081776793456572, 15.053615944224378 -6.079315816861333)"
,210-14,EN210,0.0,20.5,20.5,BANZA VOGO,SUNZA,Primary,UIGE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (15.526931007554294 -6.156920939262081, 15.550917662875298 -6.125304733595143, 15.577895017434065 -6.110290090076439, 15.600538908937711 -6.090819879661054, 15.632093869672651 -6.089294005680383, 15.65913226392608 -6.080199771955115, 15.673902674800983 -6.073302801864648)"
,100-04,EN100,0.0,33.23,33.23,CABINDA,YEMA,Primary,CABINDA,7.0,2,Paved,Good,4680,Paved,,"LINESTRING (12.174576672060288 -5.783609275389232, 12.144071130165392 -5.731983003931286, 12.099486099547988 -5.694436622668778, 12.073673726274455 -5.668623486128614, 12.059594272798524 -5.626383810829799, 12.057247712199313 -5.5982240279814794, 12.087753257207272 -5.602917327907335, 12.108872493731036 -5.59587738428486, 12.108872493730996 -5.595877384284889)"
,100-03,EN100,0.0,53.16,53.16,CACONGO(LANDANA),CABINDA,Primary,CABINDA,7.0,2,Paved,Good,4680,Paved,,"LINESTRING (12.108872493731036 -5.59587738428486, 12.1206054248534 -5.563024305798427, 12.10887254698515 -5.518437982352178, 12.104179403338195 -5.4902781994403576, 12.104179432197327 -5.448038525842748, 12.09009996738994 -5.415185445034257, 12.064287592700035 -5.396412254297103, 12.064287610362209 -5.37059912052179, 12.061941047681144 -5.344785986551784, 12.047861583189611 -5.321319499998184, 12.036128700505104 -5.297853013705043, 12.022049240151562 -5.274386527225034, 12.015009517243367 -5.253266689949354, 12.024395848198179 -5.2321468542377545, 12.040821921962854 -5.206333722236563, 12.059594567606988 -5.196947130066672)"
,100-01,EN100,0.0,22.31,22.31,BORDER DRC,MASSABI,Primary,CABINDA,7.0,2,Paved,Good,200,Paved,,"LINESTRING (12.051959317939769 -5.037636963695643, 12.047861783597602 -5.023295140352229, 12.010316528866392 -5.002175300280788, 11.972771275901856 -5.002175296714648, 11.942265764817236 -5.009215239396177, 11.911760267481236 -5.011561885223214, 11.881254782460655 -5.011561882679053)"
,200-01,EN200,0.0,22.33,22.33,CACONGO,DINGUE,Primary,CABINDA,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (12.059734856231966 -5.196945226280341, 12.097278037875835 -5.161745517094609, 12.193482571699729 -5.107772644244453, 12.20153266977936 -5.082278710386696)"
,200-03,EN200,0.0,39.81,39.81,BUCU-ZAU,BELIZE,Primary,CABINDA,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (12.406950187824972 -4.793322765786021, 12.421029356018977 -4.795669417761102, 12.442148097736933 -4.814442608975137, 12.470306462804606 -4.814442616722497, 12.493771784023588 -4.809749326885329, 12.521930187461656 -4.80036274207736, 12.531316327002509 -4.7956694483744675, 12.55478166964121 -4.795669455082373, 12.575900489404033 -4.793322812989899, 12.599365864509908 -4.781589578899016, 12.618138163891302 -4.779242936218922, 12.639257005396361 -4.779242942453678, 12.650989716691111 -4.762816408661606, 12.648643203649796 -4.739349926175554, 12.636910526556747 -4.725270033648524, 12.636910549718761 -4.7041502000964055, 12.640355234036782 -4.697260525014823)"
,101-05,EN101,0.0,30.94,30.94,DINGE,SOCOTE,Primary,CABINDA,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (12.294967421383708 -5.291585765909691, 12.294252824899111 -5.279079853868428, 12.280173329539533 -5.248573421604661, 12.252014320966214 -5.22510693320104, 12.2285484772275 -5.22041363342675, 12.237934834925083 -5.189907204051056, 12.244974614593849 -5.150014180480752, 12.235588295529123 -5.119507748981222, 12.201400303138607 -5.082280560643424)"
,140-07,EN140,0.0,37.38,37.38,CAMABATELA,SENDA (CLOSE),Primary,CUANZA NORTE,7.9,2,Paved,Good,178,Paved,5KM TRACK - Condition Poor,"LINESTRING (15.425144998413446 -8.50019075003954, 15.426899082441494 -8.472125340969304, 15.426899089355874 -8.449322195861475, 15.425145021297299 -8.424764962372684, 15.412866502126603 -8.394945462810949, 15.404096132625002 -8.370388228118335, 15.398833915139802 -8.34232281788087, 15.39181762355015 -8.310749231185476, 15.360244284594772 -8.263388847476529, 15.335687245648678 -8.226552993486097, 15.325162803795376 -8.2019957585279)"
,100-07,EN100,0.0,151.81,151.81,SOYO,N'ZETO,Primary,ZAIRE,7.0,2,Unpaved,Poor,94,Track,35KM PAVED - Condition Good,"LINESTRING (12.788201604310414 -7.254495404467737, 12.771881059811042 -7.22607255641746, 12.764867846647588 -7.17171869061838, 12.75960797253913 -7.075284413811099, 12.749088128128594 -7.034957351637625, 12.749088141533694 -7.0139171460254435, 12.749088161631327 -6.982356837646116, 12.74908818283146 -6.949043178851763, 12.742074949038614 -6.9297563228531915, 12.719281906790021 -6.922742918017437, 12.684215692226879 -6.919236212586718, 12.649149504562137 -6.891182600794972, 12.58427710163663 -6.817541873560026, 12.533431195694067 -6.75442125110621, 12.503624979414946 -6.728120990858959, 12.486091911700704 -6.717600886160103, 12.480831998101188 -6.705327432385194, 12.46154566404299 -6.640453463480017, 12.410699836131842 -6.552785935515262, 12.396673422449862 -6.503692121572656, 12.361607354143633 -6.4440782028713635, 12.331801196545316 -6.40725784058393, 12.30725496899036 -6.358164025889709, 12.293228580378248 -6.2950434089305265, 12.2669290558698 -6.25120964560098, 12.258162556240476 -6.226662738772833, 12.256409298022442 -6.161788772982765)"
,110-07,EN110,0.0,75.19,75.19,MUNDONDO,QUILENDA,Primary,CUANZA SUL,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (14.297422475809897 -10.65880445221518, 14.295805790636084 -10.62485341042562, 14.300655891170225 -10.603836099537354, 14.318439575891526 -10.576351925152498, 14.318439580648933 -10.563418195058148, 14.302272619860673 -10.519766854073477, 14.282872263177797 -10.482582377749525, 14.266705297075358 -10.461565064418018, 14.22790457344865 -10.438931032115812, 14.193953947123822 -10.417913716685526, 14.158386629774583 -10.398513117361317, 14.129286108203184 -10.36779550495798, 14.08725201271208 -10.36617878390593, 14.054918106770993 -10.346778185070635, 14.040367855261177 -10.32737758822214, 14.035517782126322 -10.295043262297488, 14.04360128202662 -10.238458193877372, 14.072701815749431 -10.204507155757787, 14.085635390120368 -10.183489845927594)"
,240-20,EN240,0.0,92.95,92.95,Cazage,Muconda,Primary,LUNDA SUL,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (20.70716662089025 -11.085612610586283, 20.730530323341984 -11.085612611308912, 20.77024861834204 -11.06925801383692, 20.805294173555286 -11.038885188761823, 20.84734883944045 -11.027203333793748, 20.905758098647507 -10.999166880580951, 20.959494617985136 -10.966457684710994, 21.00855839750625 -10.919730261234703, 21.04360395458101 -10.887021064799907, 21.066967659839147 -10.849639125566624, 21.09266773521186 -10.828611785066474, 21.11836781029462 -10.823939043238175, 21.13004966312942 -10.80291170237059, 21.13004966360297 -10.784220732449906, 21.130049664431645 -10.751511535089257, 21.146404258331305 -10.725811451856304, 21.15808611138528 -10.697774997265, 21.19546803972451 -10.672074914536417, 21.246868190942575 -10.665065802040033, 21.302941083915286 -10.65104757589694, 21.333313901385775 -10.634692977902777)"
,202-03,EN202,0.0,12.99,12.99,PEDRO COTA,ZENZE DO LUCULA(CLOSE),Primary,CABINDA,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (12.29503092438134 -5.291584831212628, 12.309965296334566 -5.267545617300317, 12.329428381879016 -5.240595359794594, 12.357874406608085 -5.230114709479606, 12.375840316869008 -5.230114714135228)"
,101-01,EN101,0.0,18.58,18.58,SANGAMONGO,BUCOZAU,Primary,CABINDA,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (12.392809779619936 -4.795670279786635, 12.40420598623023 -4.774226955290032, 12.406920923860964 -4.744362070043163, 12.390631424878386 -4.709067203099896, 12.360767325214606 -4.687347282404856, 12.360767341119075 -4.66019738648795)"
,201-02,EN201,0.0,17.78,17.78,SUTAMBANDO,POVE,Primary,CABINDA,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (12.230829777409022 -5.567718581090165, 12.256642913423688 -5.513745660332228, 12.303575887995807 -5.436306252288232)"
,101-06,EN101,0.0,17.13,17.13,SOCOTE,POVE,Primary,CABINDA,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (12.303575887995807 -5.436306252288232, 12.298882590538595 -5.361213492972842, 12.294903916689556 -5.2915867006146335)"
,200-02,EN200,0.0,42.82,42.82,DINGUE,BUCU-ZAU,Primary,CABINDA,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (12.2013341170671 -5.082281485783456, 12.207363290122963 -5.063189104439887, 12.263682859609506 -4.952896614195408, 12.301229239267201 -4.915350234537713, 12.355202160025138 -4.840257475222322, 12.392748539682833 -4.795671149378809, 12.40682843205447 -4.793324500650204)"
