ET_ID,LINKNO,ROADNO,STARTKM,ENDKM,LENGTHKM,STARTDESC,ENDDESC,CLASS,REGION,WIDTH,LANES,SURFTYPE,CONDITION,AADT,PAVEMTYPE,COMMENT,geometry
,165-02,EN165,0.0,51.71,51.71,CATCHINGA,LUREMO,Primary,LUNDA NORTE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (17.909844834679454 -8.666173427355044, 17.88250863114831 -8.605643262393224, 17.862982771483207 -8.57830705886208, 17.83174139601904 -8.539255339531874, 17.82411414136834 -8.530023884834856, 17.817082947283012 -8.499262410711557, 17.812688450979685 -8.485200022540907, 17.780169178335054 -8.468500936588258, 17.75292330125442 -8.452680749896276, 17.727435222695114 -8.428950469858302, 17.705462741178472 -8.41928257799098, 17.690521453747156 -8.411372484644989, 17.679974662619166 -8.39906789499567, 17.666791173709182 -8.392915600171008, 17.628119606239892 -8.395552297953007, 17.60966272176591 -8.393794499431674, 17.600873729159254 -8.385005506825019)"
,165-04,EN165,0.0,39.59,39.59,CUANGO,CRUZ (EN230),Primary,LUNDA NORTE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (17.891041579019543 -9.44227087269508, 17.89617673291388 -9.417919024461515, 17.903987076779924 -9.390582820930371, 17.909844834679454 -9.363246617399225, 17.919607764512005 -9.308574210336937, 17.925465522411535 -9.275380248906263, 17.941086210143617 -9.26171214714069, 17.95280172594268 -9.238281115542566, 17.976232757540803 -9.191419052346319, 18.00161637510544 -9.173845778647726, 18.02309482073705 -9.164082848815175, 18.040668094435645 -9.150414747049602)"
,295-11,EN295,0.0,34.87,34.87,Ondjiva,Chiede,Primary,CUNENE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (15.754508797792019 -16.994648348216266, 15.78304760880662 -17.026513942857278, 15.803835495032544 -17.036907885970237, 15.838481972075753 -17.036907885970237, 15.876593096823282 -17.04037253367456, 15.900845630753528 -17.057695772196162, 15.925098164683773 -17.071554363013448, 15.973603232544265 -17.08887760153505, 15.994391118770189 -17.099271544648012, 16.03250224351772 -17.113130135465298)"
,295-13,EN295,0.0,157.66,157.66,Jofima,Savate,Primary,CUNENE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (16.53834795534496 -17.0611602914963, 16.624963801908727 -17.047301697185453, 16.676933317333557 -17.04383704801283, 16.763549187913885 -17.026513806755528, 16.83284189494853 -17.026513805819945, 16.974891971356087 -17.012655213180654, 17.061507888744647 -16.998796621550152, 17.15505309345229 -16.984938030385706, 17.23820439815424 -16.974544087428807, 17.30403252184763 -16.964150144567263, 17.383719206423034 -16.95029155425551, 17.459941261006826 -16.932968316300915, 17.560415799529522 -16.915645079092055, 17.633173232170034 -16.90525113722137, 17.737112433391367 -16.874069309381643, 17.809869882237383 -16.83942283319665, 17.86183949202404 -16.829028891255852, 17.899950541187494 -16.81863494896121, 17.929603143792562 -16.794863014964502)"
,295-12,EN295,0.0,56.61,56.61,Chiede,Jofima,Primary,CUNENE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (16.03250224351772 -17.113130135465298, 16.07407801596957 -17.120059430873937, 16.1295123792387 -17.120059430873937, 16.153764913168946 -17.116594783169617, 16.195340685620796 -17.109665487760974, 16.247310401185608 -17.099271544648012, 16.29928011675042 -17.08887760153505, 16.358179127723876 -17.08194830612641, 16.417078138697327 -17.071554363013448, 16.538340808348558 -17.061160419900485)"
,160-42,EN160,0.0,149.01,149.01,CUITO CUANAVALE,NANCOVA,Primary,CUANDO CUBANGO,6.0,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (19.149050339966685 -15.148536166411551, 19.15304124102506 -15.193179448959654, 19.15650588872938 -15.231290573707183, 19.15650588872938 -15.272866346159033, 19.15304124102506 -15.317906766315202, 19.132253354799136 -15.359482538767052, 19.11493011627753 -15.414916902036186, 19.10453617316457 -15.48074520841828, 19.094142230051606 -15.539644219391734, 19.090677582347286 -15.595078582660868, 19.087212934642963 -15.664371536747284, 19.090677582347286 -15.726735195425059, 19.07335434382568 -15.796028149511475, 19.07335434382568 -15.844533217371966, 19.06296040071272 -15.906896876049741, 19.045637162191113 -15.979654477840478, 19.03524321907815 -16.035088841109612, 19.010990685147906 -16.10784644290035, 18.983273503513338 -16.170210101578125, 18.94169773106149 -16.23603840796022, 18.913980549426924 -16.27414953270775, 18.90705125401828 -16.29493741893367, 18.931303787948526 -16.31918995286392, 18.927839140244206 -16.350371782202807, 18.920909844835563 -16.388482906950333, 18.927640441605565 -16.401944100490336)"
,160-47,EN160,0.0,11.66,11.66,XAMAVERA,MUTERO,Primary,CUANDO CUBANGO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (20.29983963115525 -17.791665227200266, 20.327556812789815 -17.808988465721868, 20.358738642128706 -17.81938240883483, 20.389920471467594 -17.840170295060755, 20.39338511917191 -17.840170295060755)"
,160-46,EN160,0.0,110.41,110.41,MAVENGUE,XAMAVERA,Primary,CUANDO CUBANGO,6.0,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (19.58265755636084 -17.143776106492272, 19.62423332881269 -17.17842258353548, 19.645021215038614 -17.209604412874366, 19.6588798058559 -17.244250889917577, 19.679667692081825 -17.278897366960784, 19.714314169125032 -17.29622060548239, 19.75242529387256 -17.317008491708314, 19.797465714028732 -17.34472567334288, 19.83557683877626 -17.368978207273123, 19.880617258932432 -17.403624684316334, 19.91526373597564 -17.43827116135954, 19.95337486072317 -17.47291763840275, 19.977627394653414 -17.500634820037316, 19.99841528087934 -17.545675240193486, 20.00534457628798 -17.56646312641941, 20.022667814809584 -17.573392421828054, 20.05384964414847 -17.60110960346262, 20.064243587261434 -17.632291432801505, 20.091960768896 -17.660008614436073, 20.12314259823489 -17.69119044377496, 20.171647666095378 -17.711978330000886, 20.199364847729946 -17.73623086393113, 20.254799210999078 -17.77087734097434, 20.299839631155248 -17.791665227200266)"
,160-45,EN160,0.0,50.77,50.77,MAUE,MAVENGUE,Primary,CUANDO CUBANGO,6.0,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (19.236427765589678 -16.869159042811983, 19.23965743363308 -16.88046288096389, 19.27083926297197 -16.911644710302777, 19.305485740015175 -16.92203865341574, 19.333202921649743 -16.949755835050308, 19.360920103284307 -16.956685130458947, 19.381707989510232 -16.980937664389195, 19.4094251711448 -17.00172555061512, 19.440607000483688 -17.015584141432402, 19.482182772935538 -17.032907379954008, 19.509899954570102 -17.060624561588572, 19.523758545387388 -17.09180639092746, 19.548011079317632 -17.112594277153384, 19.58265755636084 -17.143776106492272)"
,160-44,EN160,0.0,43.75,43.75,RITO,MAUE,Primary,CUANDO CUBANGO,6.0,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (18.994499287597428 -16.586439473915334, 19.004061389739263 -16.599826416913903, 19.01791998055655 -16.62407895084415, 19.045637162191113 -16.693371904930565, 19.056031105304076 -16.71069514345217, 19.07681899153 -16.741876972791058, 19.11146546857321 -16.769594154425626, 19.149576593320738 -16.786917392947228, 19.184223070363945 -16.814634574581795, 19.225798842815795 -16.831957813103397, 19.236427765589678 -16.869159042811983)"
