name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Angola,2017-02-07,29,23,25.7,30.3,23,26.4,20.5,73.8,,0,0,,0,0,,14.8,253.1,1010.3,52.3,9.7,,,,,2017-02-07T06:08:01,2017-02-07T18:34:17,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-08,29,23.8,26,32,23.8,26.9,21,74.6,,0,0,,0,0,,24.1,219.7,1008.4,48.1,9.5,,,,,2017-02-08T06:08:16,2017-02-08T18:34:06,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-09,29,23.8,25.8,31.3,23.8,26.6,20.9,74.9,,0,0,,0,0,,16.6,260,1009.4,42.1,9.7,,,,,2017-02-09T06:08:31,2017-02-09T18:33:55,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-10,30,24,26.2,31.9,24,27.1,21,73.9,,0,0,,0,0,,14.8,222,1008.1,44.4,9.6,,,,,2017-02-10T06:08:45,2017-02-10T18:33:43,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-11,29,25,26.5,32,25,27.5,21.6,75,,0,0,,0,0,,13,233.7,1009.1,57.9,9.6,,,,,2017-02-11T06:08:59,2017-02-11T18:33:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-12,32,24,27.6,35.8,24,28.9,21.3,69.7,,0,0,,0,0,,22.3,217.6,1008.1,39.8,9.8,,,,,2017-02-12T06:09:11,2017-02-12T18:33:15,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-13,30,25,27.2,35.1,25,29,23,78.6,,0,0,,0,0,,25.9,232.7,1008.2,54.9,9.5,,,,,2017-02-13T06:09:23,2017-02-13T18:33:00,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-14,31,25,27.2,34.5,25,28.5,22.1,75.3,,0,0,,0,0,,22.3,232.2,1008.7,49.1,9.8,,,,,2017-02-14T06:09:35,2017-02-14T18:32:45,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-15,30,25,27.1,34.1,25,28.8,22.8,77.8,,0,0,,0,0,,13,304,1010.9,61.8,9.5,,,,,2017-02-15T06:09:46,2017-02-15T18:32:28,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-16,31,25.8,27.6,34.5,25.8,29.5,22.9,76,,0,0,,0,0,,14.8,255.2,1011.6,50.8,9.4,,,,,2017-02-16T06:09:56,2017-02-16T18:32:11,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
