name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tanzania,2017-02-10,31.1,21,25.1,31.9,21,25.3,18.5,69,1,100,4.17,rain,0,0,,18.4,96.5,1014.9,47.6,15.8,,,,,2017-02-10T06:41:27,2017-02-10T19:00:56,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-02-11,31,20,25.1,30.5,20,25,17,63.8,1,100,4.17,rain,0,0,,24.1,94.5,1014.9,38.7,15.5,,,,,2017-02-11T06:41:36,2017-02-11T19:00:47,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-02-12,32,19,25.2,31.3,19,25.1,15.7,58.8,0,0,0,,0,0,,25.9,93.1,1014.8,23.7,15.7,,,,,2017-02-12T06:41:45,2017-02-12T19:00:37,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-13,32.1,19,25.2,31.7,19,25.2,15.9,59.3,0,0,0,,0,0,,24.1,93.3,1014.9,21.8,18,,,,,2017-02-13T06:41:53,2017-02-13T19:00:26,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-14,32.1,20,25.8,31.7,20,25.8,16.1,57.8,0,0,0,,0,0,,29.5,92.5,1015.3,28.1,16.6,,,,,2017-02-14T06:42:01,2017-02-14T19:00:14,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-15,32,19.7,25.3,31.7,19.7,25.4,16.5,60.6,0,0,0,,0,0,,29.5,92.7,1016,34.9,15.7,,,,,2017-02-15T06:42:08,2017-02-15T19:00:02,0.64,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-16,32,19.7,25,31.7,19.7,25.1,17.8,67,0,0,0,,0,0,,22.3,86.6,1016.4,54.3,15.8,,,,,2017-02-16T06:42:14,2017-02-16T18:59:49,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-17,32,19,25.3,32,19,25.4,17.8,66.1,0,0,0,,0,0,,27.7,99.1,1016.1,47.4,16.5,,,,,2017-02-17T06:42:19,2017-02-17T18:59:35,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-18,32,21,26,32.5,21,26.2,18,64,0,0,0,,0,0,,29.5,92.7,1016.9,44.4,16.8,,,,,2017-02-18T06:42:24,2017-02-18T18:59:20,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-19,32.1,21,26.4,33,21,26.8,18.5,64.1,0,0,0,,0,0,,25.9,93,1016.1,37.8,14.9,,,,,2017-02-19T06:42:28,2017-02-19T18:59:04,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-20,31.1,22,26.4,31.2,22,26.7,17.8,61,0,0,0,,0,0,,31.7,98.2,1015.6,64.2,15.9,,,,,2017-02-20T06:42:32,2017-02-20T18:58:48,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-21,25.9,19,21.1,25.9,19,21.1,18.5,85.7,37.7,100,12.5,rain,0,0,,16.7,207.6,1016.9,80.6,14.2,,,,,2017-02-21T06:42:35,2017-02-21T18:58:31,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"63862099999,HTDO"
Tanzania,2017-02-22,27.1,19,22.8,28,19,22.9,18.2,76.5,0,0,0,,0,0,,9.4,225.6,1017.2,75.4,15.9,,,,,2017-02-22T06:42:37,2017-02-22T18:58:13,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-23,27,18.7,21.3,29.3,18.7,21.4,19.3,88.6,23,100,4.17,rain,0,0,,18.4,201.5,1016.6,71.2,15.7,,,,,2017-02-23T06:42:39,2017-02-23T18:57:55,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"63862099999,HTDO"
Tanzania,2017-02-24,28.1,19,22.9,29.3,19,23.2,18.5,78,0,0,0,,0,0,,26.4,89.2,1016.2,57.7,16.3,,,,,2017-02-24T06:42:40,2017-02-24T18:57:36,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-25,27,19,22.2,28,19,22.3,18.9,82.8,19.3,100,12.5,rain,0,0,,14.8,215.7,1017,73.2,15.7,,,,,2017-02-25T06:42:41,2017-02-25T18:57:17,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"63862099999,HTDO"
Tanzania,2017-02-26,30,20,24.1,30.9,20,24.3,18.7,74,16,100,4.17,rain,0,0,,18.4,96.6,1015.3,52.3,16.5,,,,,2017-02-26T06:42:41,2017-02-26T18:56:56,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-02-27,24,18,20.9,24,18,20.9,18.2,84.9,51,100,8.33,rain,0,0,,18.4,106.8,1014.9,83.3,17,,,,,2017-02-27T06:42:41,2017-02-27T18:56:36,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"63862099999,HTDO"
Tanzania,2017-02-28,27,18,21.3,28,18,21.3,18.1,82.6,1,100,4.17,rain,0,0,,11.2,73.7,1015.3,72.3,15.9,,,,,2017-02-28T06:42:40,2017-02-28T18:56:14,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"63862099999,HTDO"
Tanzania,2017-03-01,28.3,19.9,22.5,28.9,19.9,22.6,18.7,81.1,0.4,100,4.17,rain,0,0,,14.8,85.6,1017,65.1,17.5,,,,,2017-03-01T06:42:38,2017-03-01T18:55:53,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-03-02,29,19,24,29.2,19,24.2,18,71.7,0,0,0,,0,0,,14.8,91.6,1016.5,36.6,17.2,,,,,2017-03-02T06:42:36,2017-03-02T18:55:30,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-03-03,28.7,20,25.3,29.9,20,25.6,18.6,67.5,7,100,4.17,rain,0,0,,16.6,255.8,1015.1,49.1,14.8,,,,,2017-03-03T06:42:34,2017-03-03T18:55:07,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"63862099999,HTDO"
Tanzania,2017-03-04,26,18.7,21.6,26,18.7,21.6,18.3,82.4,15,100,8.33,rain,0,0,,18.4,330.5,1016.8,77.9,15.6,,,,,2017-03-04T06:42:31,2017-03-04T18:54:44,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-03-05,30,18,23.8,30.1,18,24.1,17.6,71.1,0,0,0,,0,0,,11.2,50.7,1014.7,53.7,17.6,,,,,2017-03-05T06:42:28,2017-03-05T18:54:20,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
